toward	[tɔːrdz]	к, по направлению к
attack	[əˈtæk]	атаковать, нападать, атака
exercise	[ˈeksərsaɪz]	упражнение, осуществлять
painting	[ˈpeɪntɪŋ]	картина, живопись
fashion	[ˈfæʃn]	мода
area	[ˈeriə]	пространство, область
appear	[əˈpɪr]	показываться, появляться
by	[baɪ]	у, возле, около, к, не позже чем
mouth	[maʊθ]	рот
leaf	[liːf]	лист
direct	[dəˈrekt (dɪ- / daɪ-)]	прямой, направлять
handle	[ˈhændl]	ручка, рукоять, обращаться
or	[ɔːr]	или
practical	[ˈpræktɪkl]	практичный, практический
trap	[træp]	ловушка, ловить в ловушку
possibly	[ˈpɑːsəbli]	возможно, может быть
ruler	[ˈruːlər]	правитель, линейка
fourteen	[ˌfɔːrˈtiːn]	четырнадцать
professional	[prəˈfeʃənl]	профессиональный, профессионал
why	[waɪ]	почему
explanation	[ˌekspləˈneɪʃn]	объяснение, разъяснение
position	[pəˈzɪʃn]	положение, позиция
which	[wɪtʃ]	который
decision	[dɪˈsɪʒn]	решение, определение
open	[ˈoʊpən]	открытый, открывать
religion	[rɪˈlɪdʒən]	религия
tend	[tend]	иметь тенденцию, тяготеть
chicken	[ˈtʃɪkɪn]	курица
condition	[kənˈdɪʃn]	состояние, положение, обусловливать
camera	[ˈkæmərə]	фотоаппарат, камера
continue	[kənˈtɪnjuː]	продолжать
type	[taɪp]	тип, вид, печатать
global	[ˈɡloʊbl]	глобальный
mark	[mɑːrk]	знак, отметка, помечать
box	[bɑːks]	коробка, ящик, боксировать (бить кулаком)
borrow	[ˈbɔːroʊ]	брать в долг
thought	[θɔːt]	мысль
nation	[ˈneɪʃn]	народ, нация
pocket	[ˈpɑːkɪt]	карман
cigarette	[ˈsɪɡəret]	сигарета
it	[ɪt]	это
sick	[sɪk]	больной
whom	[huːm]	кого
string	[strɪŋ]	струна, веревка
clock	[klɑːk]	часы
future	[ˈfjuːtʃər]	будущее, будущий
principle	[ˈprɪnsəpl]	принцип
direction	[dɪˈrekʃn, daɪˈrekʃn]	направление, руководство
series	[ˈsɪriːz]	ряд, последовательность
expert	[ˈekspɜːrt]	эксперт, специалист, экспертный
flag	[flæɡ]	флаг
kind	[kaɪnd]	добрый, любезный, сорт
standard	[ˈstændərd]	стандартный, обычный, стандарт
grade	[ɡreɪd]	класс, оценка, сортировать
pack	[pæk]	упаковывать, собирать, упаковка
dig	[dɪɡ]	копать, рыть
together	[təˈɡeðər]	вместе
everywhere	[ˈevriwer]	везде, всюду
mention	[ˈmenʃn]	упоминать, упоминание
television	[ˈtelɪvɪʒn]	телевидение, телевизор
of	[əv, ʌv]	указывает на отношение принадлежности
equipment	[ɪˈkwɪpmənt]	оборудование, снаряжение
well	[wel]	хорошо, вполне, хороший
chemical	[ˈkemɪkl]	химический, химический продукт
son	[sʌn]	сын
perform	[pərˈfɔːrm]	исполнять, выполнять
alcohol	[ˈælkəhɑːl]	алкоголь
swing	[swɪŋ]	качать(ся), размахивать, качание, взмах
degree	[dɪˈɡriː]	степень, градус
run	[rʌn]	бежать, бегать, бег
include	[ɪnˈkluːd]	включать в себя
yet	[jet]	еще, все еще, тем не менее
joke	[dʒoʊk]	шутка, шутить
forever	[fərˈevər]	(на)всегда, (на)вечно
welcome	[ˈwelkəm]	добро пожаловать, приветствовать
toe	[toʊ]	палец ноги, носок
beautiful	[ˈbjuːtɪfl]	красивый, прекрасный
activity	[ækˈtɪvəti]	деятельность, активность
feather	[ˈfeðər]	перо
due	[duː]	(+ to) обусловленный, должный
in	[ɪn]	в, внутри, внутри
uniform	[ˈjuːnɪfɔːrm]	униформа, равномерный
association	[əˌsoʊsiˈeɪʃn]	ассоциация, объединение
bright	[braɪt]	яркий, блестящий, ярко
remove	[rɪˈmuːv]	удалять, убирать
generally	[ˈdʒenrəli]	обычно, как правило
button	[ˈbʌtn]	кнопка, пуговица
basic	[ˈbeɪsɪk]	базовый, основной
ask	[æsk]	спрашивать
monkey	[ˈmʌŋki]	обезьяна
representative	[ˌreprɪˈzentətɪv]	представитель, представительный
once	[wʌns]	раз, однажды, один раз
illness	[ˈɪlnəs]	болезнь
invent	[ɪnˈvent]	изобретать, придумывать
tomorrow	[təˈmɔːroʊ]	завтра, завтрашний день
usual	[ˈjuːʒ(u)əl]	обычный
ball	[bɔːl]	мяч, шар
loud	[laʊd]	громкий, громко
worker	[ˈwɜːrkər]	рабочий
dismiss	[dɪsˈmɪs]	распускать, увольнять
rubber	[ˈrʌbər]	резина, каучук, резиновый
cry	[kraɪ]	плакать, кричать, плач
celebrate	[ˈselɪbreɪt]	праздновать
shock	[ʃɑːk]	удар, шок, шокировать
earn	[ɜːrn]	зарабатывать
tower	[ˈtaʊər]	башня
meter	[ˈmiːtər]	метр
explode	[ɪkˈsploʊd]	взрывать(ся)
cloud	[klaʊd]	облако, туча
envelope	[ˈenvəloʊp (ˈɑː-)]	конверт
solution	[səˈluːʃn]	решение
event	[ɪˈvent]	событие, происшествие
orange	[ˈɔːrɪndʒ]	апельсин, оранжевый цвет, оранжевый
individual	[ˌɪndɪˈvɪdʒuəl]	индивидуальный, отдельный, индивид
bean	[biːn]	боб, фасоль
minute	[ˈmɪnɪt]	минута
tonight	[təˈnaɪt]	сегодня вечером, сегодня ночью, сегодняшний вечер
worry	[ˈwɜːri]	беспокоиться, волноваться, беспокойство
grand	[ɡrænd]	великий, большой
discuss	[dɪˈskʌs]	обсуждать
gram	[ɡræm]	грамм
chin	[tʃɪn]	подбородок
March	[mɑːrtʃ]	март
true	[truː]	истинный, верный, правдиво
top	[tɑːp]	верхний, вершина
blade	[bleɪd]	лезвие, клинок
exciting	[ɪkˈsaɪtɪŋ]	захватывающий, волнующий
mix	[mɪks]	смешивать(ся), сочетать(ся), смесь
arrive	[əˈraɪv]	прибывать, приезжать
camp	[kæmp]	лагерь, располагаться лагерем
deserve	[dɪˈzɜːrv]	заслуживать, быть достойным
alive	[əˈlaɪv]	живой
follow	[ˈfɑːloʊ]	следовать, идти за
bird	[bɜːrd]	птица
forget	[fərˈɡet]	забывать
partner	[ˈpɑːrtnər]	партнер
island	[ˈaɪlənd]	остров
find	[faɪnd]	находить, встречать
goodbye	[ˌɡʊdˈbaɪ]	до свидания!
north	[nɔːrθ]	север, северный
bad	[bæd]	плохой, несчастье
freedom	[ˈfriːdəm]	свобода
whatever	[wətˈevər]	что бы ни, все что, любой
narrow	[ˈnæroʊ]	узкий
treat	[triːt]	относиться, обращаться
design	[dɪˈzaɪn]	дизайн, замысел, проектировать
needle	[ˈniːdl]	игла, иголка
rid	[rɪd]	(+ of) освобождать, избавлять
artist	[ˈɑːrtɪst]	художник, артист
normal	[ˈnɔːrml]	нормальный, обычный
sex	[seks]	секс, пол
they	[ðeɪ]	они
immediately	[ɪˈmiːdiətli]	немедленно
team	[tiːm]	команда, объединяться в команду
drug	[drʌɡ]	лекарство, наркотик, давать наркотики
teacher	[ˈtiːtʃər]	учитель
expression	[ɪkˈspreʃn]	выражение
wind	[wɪnd]	ветер
animal	[ˈænɪml]	животное, животный
milk	[mɪlk]	молоко
half	[hæf]	половина, наполовину
movie	[ˈmuːvi]	кино, фильм
people	[ˈpiːpl]	люди
sharp	[ʃɑːrp]	острый, резкий, резко
amount	[əˈmaʊnt]	количество, сумма, составлять
beard	[bɪrd]	борода
yourself	[jɔːrˈself, jərˈself]	себя, себе
service	[ˈsɜːrvɪs]	обслуживание, сервис
some	[səm, sʌm]	некоторое количество, некоторые
system	[ˈsɪstəm]	система, устройство
previous	[ˈpriːviəs]	предыдущий
relative	[ˈrelətɪv]	родственник, относительный
tell	[tel]	говорить, рассказывать
possible	[ˈpɑːsəbl]	возможный, вероятный
number	[ˈnʌmbər]	число, нумеровать
color	[ˈkʌlər]	цвет, цветной
limit	[ˈlɪmɪt]	ограничивать, предел
young	[jʌŋ]	юный, молодой, молодёжь
million	[ˈmɪljən]	миллион
seventeen	[ˌsevnˈtiːn]	семнадцать
title	[ˈtaɪtl]	название, заглавие
delay	[dɪˈleɪ]	медлить, задерживать, задержка
confidence	[ˈkɑːnfɪdəns]	уверенность, доверие
measure	[ˈmeʒər]	измерять, оценивать, мера
great	[ɡreɪt]	огромный, большой
wake	[weɪk]	проснуться, будить
next	[nekst]	следующий, затем
thorough	[ˈθɜːroʊ]	тщательный, полный
signal	[ˈsɪɡnəl]	сигнал, сигнализировать
personal	[ˈpɜːrsənl]	личный, персональный
national	[ˈnæʃnəl]	национальный, гражданин
amusing	[əˈmjuːzɪŋ]	забавный, занимательный
nobody	[ˈnoʊbədi]	никто
story	[ˈstɔːri]	рассказ, история
spring	[sprɪŋ]	весна, пружина, пружинить
quick	[kwɪk]	быстрый, быстро
citizen	[ˈsɪtɪzn]	гражданин
remain	[rɪˈmeɪn]	оставаться в каком-л. состоянии
extreme	[ɪkˈstriːm]	крайний, экстремальный
for	[fər, fɔːr]	для, за, ибо
according	[əˈkɔːrdɪŋ]	(to) согласно, в соответствии с
more	[mɔːr]	еще, больше
brave	[breɪv]	храбрый, смелый
feature	[ˈfiːtʃər]	особенность, черта, показывать
stranger	[ˈstreɪndʒər]	незнакомец, посторонний
bone	[boʊn]	кость
really	[ˈriːəli]	действительно, в самом деле
attractive	[əˈtræktɪv]	привлекательный
holy	[ˈhoʊli]	священный, святой
human	[ˈhjuːmən]	человек, человеческий
hunt	[hʌnt]	охотиться, охота
you	[juː, jə]	ты, вы
nose	[noʊz]	нос
instead	[ɪnˈsted]	вместо, взамен
part	[pɑːrt]	часть, доля
music	[ˈmjuːzɪk]	музыка
silence	[ˈsaɪləns]	тишина, молчание
gradual	[ˈɡrædʒuəl]	постепенный
communication	[kəˌmjuːnɪˈkeɪʃn]	коммуникация, информация
sheep	[ʃiːp]	овца, баран
silent	[ˈsaɪlənt]	тихий, бесшумный
take	[teɪk]	брать, взять, получать
be	[bi, biː]	быть, существовать
tennis	[ˈtenɪs]	теннис
car	[kɑːr]	автомобиль, машина
flight	[flaɪt]	полет, рейс
Sunday	[ˈsʌnd(e)ɪ]	воскресенье
taste	[teɪst]	вкус, иметь вкус
ill	[ɪl]	больной
tall	[tɔːl]	высокий
where	[wer]	где, где
passenger	[ˈpæsɪndʒər]	пассажир
grass	[ɡræs]	трава
sea	[siː]	море, морской
park	[pɑrk]	парк, парковать(ся)
inform	[ɪnˈfɔːrm]	сообщить, информировать
scientific	[ˌsaɪənˈtɪfɪk]	научный
wise	[waɪz]	мудрый
wedding	[ˈwedɪŋ]	свадьба
tropical	[ˈtrɑːpɪkl]	тропический
lock	[lɑːk]	запирать, замок
except	[ɪkˈsept]	кроме, за исключением того, что
comb	[koʊm]	гребень, расческа, расчесывать
tax	[tæks]	налог, пошлина, облагать налогом
repair	[rɪˈper]	ремонтировать, чинить, ремонт
tradition	[trəˈdɪʃn]	традиция
parent	[ˈperənt]	родитель, предок
spirit	[ˈspɪrɪt]	дух
see	[siː]	видеть, смотреть
excellent	[ˈeksələnt]	отличный
glad	[ɡlæd]	довольный
manager	[ˈmænɪdʒər]	менеджер, управляющий
August	[ˈɔːɡəst]	август
ashamed	[əˈʃeɪmd]	пристыженный
copy	[ˈkɑpi]	копировать, копия
relax	[rɪˈlæks]	расслаблять(ся)
arrival	[əˈraɪvl]	прибытие
five	[faɪv]	пять
destroy	[dɪˈstrɔɪ]	уничтожать, разрушать
independent	[ˌɪndɪˈpendənt]	независимый, самостоятельный
crop	[krɑːp]	с.-х. культура, урожай
kiss	[kɪs]	поцелуй, целовать
outer	[ˈaʊtər]	внешний, наружный
region	[ˈriːdʒən]	регион, область
spend	[spend]	тратить, расходовать
evil	[ˈiːv(ɪ)l]	зло, злой
help	[help]	помощь, помогать
wrong	[rɔːŋ]	неправильный, ошибочный, неправильно
bear	[ber]	носить, переносить, медведь
grow	[ɡroʊ]	расти, произрастать
until	[ənˈtɪl]	до, до тех пор пока
natural	[ˈnætʃrəl]	естественный, натуральный
week	[wiːk]	неделя
trial	[ˈtraɪəl]	суд, судебное разбирательство, пробный
lesson	[ˈlesn]	урок
magazine	[ˈmæɡəziːn]	журнал
variety	[vəˈraɪəti]	разнообразие
close	[kloʊz]	закрывать, закрываться, близко
plenty	[ˈplenti]	достаточно, много, множество
broadcast	[ˈbrɔːdkæst]	трансляция (радио, теле), вещание, вещать
fill	[fɪl]	заполнять, наполнять
energy	[ˈenərdʒi]	энергия
surprise	[sərˈpraɪz]	сюрприз, удивление, удивлять
newspaper	[ˈnuːzpeɪpər]	газета
effect	[ɪˈfekt]	эффект, результат, осуществлять
religious	[rɪˈlɪdʒəs]	религиозный, верующий
job	[dʒɑːb]	работа
language	[ˈlæŋɡwɪdʒ]	язык
child	[tʃaɪld]	ребенок
front	[frʌnt]	передний, перед
sixteen	[ˌsɪksˈtiːn]	шестнадцать
beside	[bɪˈsaɪd]	рядом с, около
hurt	[hɜːrt]	болеть, повредить, боль
restrict	[rɪˈstrɪkt]	ограничивать
prove	[pruːv]	доказывать
offer	[ˈɑːfər, ˈɔːfər]	предлагать, предложение
roof	[ruːf]	крыша
warm	[wɔːrm]	теплый, греть(ся)
pull	[pʊl]	тянуть
per	[pər]	из расчета на, в
September	[sepˈtembər]	сентябрь
all	[ɔːl]	все, все
clerk	[klɜrk]	клерк, офисный служащий
twice	[twaɪs]	дважды
push	[pʊʃ]	толкать, жать, толчок
line	[laɪn]	линия, черта
case	[keɪs]	случай, обстоятельство
clay	[kleɪ]	глина
candy	[ˈkændi]	конфета, леденец
affair	[əˈfer]	дело, роман
stick	[stɪk]	приклеивать(ся), липнуть, палка
toilet	[ˈtɔɪlət]	туалет
eighty	[ˈeɪti]	восемьдесят
even	[ˈiːvn]	даже, плоский
slip	[slɪp]	скользить, проскальзывать
battle	[ˈbætl]	битва, сражение, сражаться
doctor	[ˈdɑːktər]	врач, доктор, лечить
rather	[ˈræðər]	скорее, лучше
contract	[n - ˈkɑːntrækt, v - kənˈtrækt]	контракт, договор, сокращать(ся)
permanent	[ˈpɜːrmənənt]	постоянный, перманентный
block	[blɑːk]	блокировать, блок
instrument	[ˈɪnstrəmənt]	инструмент
health	[helθ]	здоровье
under	[ˈʌndər]	под
beyond	[bɪˈjɑːnd]	за, вне, за пределами
navy	[ˈneɪvi]	военно-морской флот
boil	[bɔɪl]	кипятить(ся), кипение
soon	[suːn]	скоро, вскоре
third	[θɜːrd]	третий, треть
subject	[ˈsʌbdʒɪkt, -ekt]	тема, предмет
sit	[sɪt]	сидеть
article	[ˈɑːrtɪkl]	статья, вещь
slide	[slaɪd]	скользить
blind	[blaɪnd]	слепой
multiply	[ˈmʌltɪplaɪ]	умножать(ся), увеличивать(ся)
get	[ɡet]	получить
opponent	[əˈpoʊnənt]	оппонент, противник
financial	[faɪˈnænʃl, fə-]	финансовый
ninety	[ˈnaɪnti]	девяносто
mental	[ˈmentl]	психический, умственный
loss	[lɔːs, lɑːs]	потеря, утрата
valuable	[ˈvæljuəbl]	ценный
star	[stɑːr]	звезда, звездный
dirty	[ˈdɜːrti]	грязный
layer	[ˈleɪr]	слой, класть слоями
polite	[pəˈlaɪt]	вежливый
wooden	[ˈwʊdn]	деревянный
coin	[kɔɪn]	монета
injure	[ˈɪndʒər]	ранить, повредить
around	[əˈraʊnd]	вокруг, около, вокруг
special	[ˈspeʃl]	специальный, особый
consist	[kənˈsɪst]	состоять (из), заключаться в
foreign	[ˈfɔːrən, ˈfɑːrən]	иностранный, зарубежный
fresh	[freʃ]	свежий
nerve	[nɜːrv]	нерв
ordinary	[ˈɔrdneri]	обычный, обыкновенный
address	[əˈdres, ˈædres]	адрес, обращаться
web	[web]	сеть, паутина
group	[ɡruːp]	группа, группировать
shell	[ʃel]	раковина, скорлупа
gate	[ɡeɪt]	ворота, калитка
various	[ˈveriəs, ˈvæ-]	различный
pronunciation	[prəˌnʌnsiˈeɪʃn]	произношение
among	[əˈmʌŋ]	между, среди
reason	[ˈriːzn]	причина, повод, рассуждать
empty	[ˈempti]	пустой
magic	[ˈmædʒɪk]	магия, волшебство
strategy	[ˈstrætədʒi]	стратегия
leg	[leɡ]	нога
shame	[ʃeɪm]	позор, стыд, позорить
failure	[ˈfeɪljər]	провал, неудача
work	[wɜːrk]	работа, работать
float	[floʊt]	плыть на поверхности, всплывать
above	[əˈbʌv]	вверху, наверх, над
decide	[dɪˈsaɪd]	решать, принимать решение
official	[əˈfɪʃl]	официальный, служебный, должностное лицо
intelligent	[ɪnˈtelɪdʒənt]	интеллектуальный, умный
dress	[dres]	платье, одежда, одевать(ся)
god	[ɡɑːd]	Бог, божество
govern	[ˈɡʌvərn]	управлять, править
bring	[brɪŋ]	приносить, приводить
phrase	[freɪz]	фраза, выражение
lake	[leɪk]	озеро
average	[ˈævərɪdʒ]	средний, обыкновенный, среднее
pity	[ˈpɪti]	жалость
again	[əˈɡen, əˈɡeɪn]	опять, ещё
dull	[dʌl]	тупой, глупый
nearly	[ˈnɪrli]	близко, около
rare	[rer]	редкий
ready	[ˈredi]	готовый
how	[haʊ]	как
therefore	[ˈðerfɔːr]	поэтому, следовательно
share	[ʃer]	делить, разделять, доля
way	[weɪ]	путь, направление
process	[ˈproʊses]	процесс, подвергать процессу
heel	[hiːl]	пятка, каблук
weather	[ˈweðər]	погода
pink	[pɪŋk]	розовый, розовый цвет
react	[riˈækt]	реагировать
conscience	[ˈkɑːnʃəns]	совесть
minister	[ˈmɪnɪstər]	министр
stand	[stænd]	стоять, стойка
page	[peɪdʒ]	страница
pipe	[paɪp]	труба, трубка
below	[bɪˈloʊ]	ниже, ниже
girl	[ɡɜːrl]	девочка
path	[pæθ]	путь, дорожка
detail	[ˈdiːteɪl]	деталь, подробность, детализировать
sincere	[sɪnˈsɪr]	искренний
boat	[boʊt]	лодка
meet	[miːt]	встречать, встречаться
value	[ˈvæljuː]	ценность, значение, ценить
history	[ˈhɪstri]	история
prefer	[prɪˈfɜːr]	предпочитать
circle	[ˈsɜːrkl]	круг
travel	[ˈtrævl]	путешествовать, путешествие
fever	[ˈfiːvər]	жар, лихорадка
twist	[twɪst]	крутить, скручивать, поворот
college	[ˈkɑːlɪdʒ]	колледж, университет
shelf	[ʃelf]	полка
cheese	[tʃiːz]	сыр
daughter	[ˈdɔːtər]	дочь
electric	[ɪˈlektrɪk]	электрический
from	[frəm, frɑːm]	от, из
state	[steɪt]	состояние, государство, заявлять
mysterious	[mɪˈstɪriəs]	таинственный, загадочный
skillful	[ˈskɪlfl]	искусный, умелый
pet	[pet]	домашнее животное, ласкать
role	[roʊl]	роль
attend	[əˈtend]	посещать, присутствовать
whisper	[ˈwɪspər]	шептать(ся)
dance	[dæns]	танцевать, танец
need	[niːd]	нуждаться, необходимость
red	[red]	красный, красный цвет
court	[kɔːrt]	суд, судебное заседание
sink	[sɪŋk]	тонуть, раковина
purple	[ˈpɜːrpl]	фиолетовый, пурпурный, пурпур
belong	[bɪˈlɔːŋ]	принадлежать
should	[ʃud]	должен
culture	[ˈkʌltʃər]	культура
swear	[swer]	клясться, ругаться, клятва
waste	[weɪst]	растрачивать, тратить впустую, растрата
method	[ˈmeθəd]	прием, метод
fly	[flaɪ]	летать, муха
clear	[klɪr]	ясный, чистый, очистить
learn	[lɜːrn]	учиться, учить
huge	[hjuːdʒ]	огромный
stream	[striːm]	поток
himself	[hɪmˈself]	сам, себя
sew	[soʊ]	шить, зашивать
environment	[ɪnˈvaɪrənmənt]	окружающая среда, окружение
profession	[prəˈfeʃn]	профессия
love	[lʌv]	любовь, любить
wear	[wer]	носить
trouble	[ˈtrʌbl]	беспокойство, неприятность, беспокоить
oppose	[əˈpoʊz]	выступать против, противодействовать
tongue	[tʌŋ]	язык
customer	[ˈkʌstəmər]	клиент, покупатель
opinion	[əˈpɪnjən]	мнение
sixty	[ˈsɪksti]	шестьдесят, 60
lawyer	[ˈlɔːjər]	адвокат, юрист
rub	[rʌb]	тереть(ся)
thumb	[θʌm]	большой палец руки
adverb	[ˈædvɜːrb]	наречие
vacation	[vəˈkeɪʃn, veɪ-]	отпуск, каникулы
organ	[ˈɔrɡən]	орган
tie	[taɪ]	завязывать, связывать, галстук
drum	[drʌm]	барабан
freeze	[friːz]	замерзать, замораживать, мороз
enter	[ˈentər]	входить, вводить
spell	[spel]	произносить по буквам, писать по буквам, заклинание
eye	[aɪ]	глаз
pencil	[ˈpensl]	карандаш
church	[tʃɜːrtʃ]	церковь, церковный
confident	[ˈkɑːnfɪdənt]	уверенный
we	[wi, wiː]	мы
sky	[skaɪ]	небо
including	[ɪnˈkluːdɪŋ]	включая
ten	[ten]	десять, десятка
main	[meɪn]	главный, основной
view	[vjuː]	вид, взгляд, обозревать
steady	[ˈstedi]	устойчивый, постоянный
old	[oʊld]	старый
large	[lɑːrdʒ]	большой, крупный
root	[ruːt]	корень
steep	[stiːp]	крутой
farmer	[ˈfɑːrmər]	фермер
rate	[reɪt]	показатель чего-л., ставка, присваивать рейтинг
branch	[bræntʃ]	ветвь, ответвление
pool	[puːl]	бассейн, лужа
breakfast	[ˈbrekfəst]	завтрак
telephone	[ˈtelɪfoʊn]	телефон, звонить по телефону
interest	['ɪnt(ə)rəst]	интерес, выгода, интересовать
stiff	[stɪf]	жесткий, тугой
smart	[smɑːrt]	умный, элегантный
arrange	[əˈreɪndʒ]	организовывать, расставлять
possibility	[ˌpɑːsəˈbɪləti]	возможность, вероятность
watch	[wɑːtʃ]	смотреть, наблюдать, часы
plural	[ˈplʊrəl]	множественный, множественное число
tooth	[tuːθ]	зуб
marriage	[ˈmærɪdʒ]	брак, замужество
check	[tʃek]	проверять, проверка
start	[stɑːrt]	начало, старт, начинать
sum	[sʌm]	сумма
nut	[nʌt]	орех, чудак
available	[əˈveɪləbl]	доступный
happy	[ˈhæpi]	счастливый, довольный
reward	[rɪˈwɔːrd]	награда, вознаграждение, вознаграждать
who	[huː]	кто
high	[haɪ]	высоко, высокий
smell	[smel]	запах, обоняние, пахнуть
south	[saʊθ]	юг, южный
shirt	[ʃɜːrt]	рубашка
poor	[pʊr, pɔːr]	бедный
salt	[sɔːlt]	соль, солить
listen	[ˈlɪsn]	слушать
however	[haʊˈevər]	как бы ни, однако
indeed	[ɪnˈdiːd]	в самом деле, действительно
blow	[bloʊ]	дуть, порыв ветра
radio	[ˈreɪdioʊ]	радио
media	[ˈmiːdiə]	СМИ, масс-медиа
product	[ˈprɑːdʌkt]	продукт, продукция
knock	[nɑːk]	стучать(ся), стук
understand	[ˌʌndərˈstænd]	понимать
sugar	[ˈʃʊɡər]	сахар
obey	[əˈbeɪ]	повиноваться, слушаться
something	[ˈsʌmθɪŋ]	кое-что, нечто
father	[ˈfɑːðər]	отец
difference	[ˈdɪfrəns]	разница, отличие
discover	[dɪˈskʌvər]	открывать, обнаруживать
traditional	[trəˈdɪʃənl]	традиционный
forgive	[fərˈɡɪv]	прощать
steam	[stiːm]	пар
worse	[wɜːrs]	хуже, худший
throw	[θroʊ]	бросать, кидать, бросок
pure	[pjʊr]	чистый
shadow	[ˈʃædoʊ]	тень
piano	[piˈænoʊ]	пианино, фортепьяно
forest	[ˈfɔːrɪst, ˈfɑːrɪst]	лес, лесной
safety	[ˈseɪfti]	безопасность
actually	[ˈæktʃuəli]	на самом деле, фактически
suit	[suːt]	костюм, устраивать
somebody	[ˈsʌmbədi]	кто-то, кто-нибудь
mystery	[ˈmɪstri]	тайна, таинство
escape	[ɪˈskeɪp]	побег, бегство, бежать (из заключения)
land	[lænd]	земля, высаживаться
program	[ˈproʊɡræm]	программа, программировать
at	[ət, æt]	у, за
anger	[ˈæŋɡər]	гнев, злость
scatter	[ˈskætər]	рассеивать(ся), разбрасывать
thirty	[ˈθɜːrti]	тридцать
kill	[kɪl]	убивать
look	[lʊk]	смотреть, глядеть, взгляд
piece	[piːs]	часть, кусок
leave	[liːv]	покидать, оставлять
woman	[ˈwʊmən]	женщина
save	[seɪv]	сохранять, спасать
along	[əˈlɔːŋ]	вдоль, по, вдоль
explosion	[ɪkˈsploʊʒn]	взрыв, вспышка
month	[mʌnθ]	месяц
director	[dɪˈrektər, daɪ-]	директор, руководитель
plate	[pleɪt]	тарелка, пластинка
west	[west]	запад, западный
net	[net]	сеть
regular	[ˈreɡjələr]	регулярный
become	[bɪˈkʌm]	становиться, случаться
hide	[haɪd]	скрывать(ся)
wave	[weɪv]	волна, махать
northern	[ˈnɔːrðərn]	северный
guard	[ɡɑːrd]	охрана, охранять
quality	[ˈkwɑːləti]	качество
middle	[ˈmɪdl]	середина, средний
without	[wɪˈðaʊt]	без
split	[splɪt]	расщеплять(ся), разбивать на части, расщепление
unless	[ənˈles]	если не, пока не
organization	[ˌɔːrɡənəˈzeɪʃn]	организация
buy	[baɪ]	покупать, покупка
flame	[fleɪm]	пламя
dead	[ded]	мертвый, умерший, покойник
forbid	[fərˈbɪd]	запрещать
bottom	[ˈbɑːtəm]	низ, нижний
badly	[ˈbædli]	скверно, плохо
question	[ˈkwestʃən]	вопрос, спрашивать
believe	[bɪˈliːv]	верить
ship	[ʃɪp]	корабль, судно
hungry	[ˈhʌŋɡri]	голодный
fault	[fɔːlt]	вина, ошибка
stupid	[ˈstuːpɪd]	глупый
Thursday	[ˈθɜːrzd(e)ɪ]	четверг
worst	[wɜːrst]	наихудший, наихудшее
July	[dʒuˈlaɪ]	июль
kitchen	[ˈkɪtʃɪn]	кухня
miss	[mɪs]	скучать, упускать, пропускать, потеря
railroad	[ˈreɪlroʊd]	железная дорога
slope	[sloʊp]	склон, наклон
false	[fɔːls]	ложный
situation	[ˌsɪtʃuˈeɪʃn]	ситуация
during	[ˈdʊrɪŋ]	во время, в течение
market	[ˈmɑːrkɪt]	рынок
paper	[ˈpeɪpər]	бумага
call	[kɔːl]	вызывать, окликать, звонок
relation	[rɪˈleɪʃn]	связь, отношение
ruin	[ˈruːɪn]	разрушать, губить, руины
heart	[hɑːrt]	сердце
pass	[pæs]	проходить, сдавать, проход
place	[pleɪs]	место, помещать
library	[ˈlaɪbreri]	библиотека
Saturday	[ˈsætərd(e)ɪ]	суббота
reply	[rɪˈplaɪ]	ответ, отвечать
introduction	[ˌɪntrəˈdʌkʃn]	введение, представление кого-л.
leather	[ˈleðər]	кожа, кожаный
onion	[ˈʌnjən]	лук
previously	[ˈpriviəsli]	ранее, заранее
account	[əˈkaʊnt]	счет, расчет, отчитываться
four	[fɔːr]	четыре
mixture	[ˈmɪkstʃər]	смесь
introduce	[ˌɪntrəˈdjuːs]	представлять, вводить
dog	[dɔːɡ]	собака
OK	[oʊˈkeɪ]	хорошо, ладно, в порядке
hard	[hɑːrd]	трудный, твёрдый, жестко
glue	[ɡluː]	клей, клеить(ся)
a	[ə]	неопределенный артикль, один из
polish	[ˈpɑːlɪʃ]	полировать, наводить лоск, полировка
lamp	[læmp]	лампа
step	[step]	шаг, ступать
kick	[kɪk]	пинать, ударять ногой, пинок
border	[ˈbɔːrdər]	граница
cup	[kʌp]	чашка, чаша
belt	[belt]	ремень, пояс
guide	[ɡaɪd]	путеводитель, гид, вести
big	[bɪɡ]	большой
voice	[vɔɪs]	голос, произносить
accident	[ˈæksɪdənt]	авария, случай
bend	[bend]	сгибать(ся), поворачивать, изгиб
warning	[ˈwɔːrnɪŋ]	предупреждение
can	[kən, kæn]	мочь, уметь
preparation	[ˌprepəˈreɪʃn]	подготовка
clearly	[ˈklɪrli]	ясно, очевидно
adventure	[ədˈventʃər]	приключение
honor	[ˈɑːnər]	честь
hair	[her]	волосы
confuse	[kənˈfjuːz]	путать, сбивать с толку
distance	[ˈdɪstəns]	дистанция, расстояние
secretary	[ˈsekrəteri]	секретарь
truck	[trʌk]	грузовик
square	[skwer]	квадрат, площадь, квадратный
afraid	[əˈfreɪd]	боящийся, испуганный
conversation	[ˌkɑːnvərˈseɪʃn]	разговор, беседа
